hand,F_strat,F_ev,R2.1_strat,R2.1_ev,RAI_strat,RAI_ev,best_action,best_ev_action
T3s,100.0,0.0,0.0,-0.01903,0.0,-0.67265,F,F
T4o,100.0,0.0,0.0,-0.03081,0.0,-0.77581,F,F
T4s,100.0,0.0,0.0,-0.0169,0.0,-0.66052,F,F
T5o,100.0,0.0,0.0,-0.02891,0.0,-0.77385,F,F
T5s,100.0,0.0,0.0,-0.01525,0.0,-0.65882,F,F
T6o,100.0,0.0,0.0,-0.02564,0.0,-0.73379,F,F
T6s,100.0,0.0,0.0,-0.01144,0.0,-0.62112,F,F
T7o,100.0,0.0,0.0,-0.0188,0.0,-0.69998,F,F
T7s,100.0,0.0,0.0,-0.00482,0.0,-0.58909,F,F
T8o,100.0,0.0,0.0,-0.01385,0.0,-0.67096,F,F
T8s,4.2,0.0,95.8,7e-05,0.0,-0.56152,R2.1,R2.1
T9o,100.0,0.0,0.0,-0.00886,0.0,-0.64851,F,F
T9s,0.0,0.0,100.0,0.00501,0.0,-0.54102,R2.1,R2.1
TT,0.0,0.0,100.0,0.06056,0.0,-0.48779,R2.1,R2.1
